adm_cd_kosis,adm_nm,gu,status,current_adm_cd_kosis,current_adm_nm,merged_date,note,adm_cd_sgis
15216A1100A37010B000J301,중앙동,북구,current,15216A1100A37010B000J301,중앙동,,1998-06-29 대흥동·덕수동·중앙동·동빈동 일부 통합으로 성립; 2009-01-01 학산동 흡수,37012670
15216A1100A37010B000J302,학산동,북구,deprecated,15216A1100A37010B000J301,중앙동,2009-01-01,1998-06-29 대신동·항구동·학산동·동빈동 일부 통합으로 성립했다가 2009-01-01 중앙동에 흡수됨. 학산동은 법정동으로는 존속하나 행정동은 중앙동이 관할,
15216A1100A37010B000J303,상대1동,북구,deprecated,15216A1100A37010B000J334,상대동,2009-01-01,"KOSIS 코드 체계상 옛 상대1동/2동은 북구 하위로 기록되어 있으나, 통합된 현재의 상대동은 남구 소속 — 소속 구 자체가 바뀐 사례이니 구 단위 집계 시 특히 주의",
15216A1100A37010B000J304,상대2동,북구,deprecated,15216A1100A37010B000J334,상대동,2009-01-01,상대1동과 동일 사유로 상대동에 통합. 구 소속 변경 동일 적용,
15216A1100A37010B000J305,해도1동,북구,deprecated,15216A1100A37010B000J335,해도동,2009-01-01,"KOSIS 코드 체계상 옛 해도1동/2동은 북구 하위로 기록되어 있으나, 통합된 현재의 해도동은 남구 소속 — 상대동과 동일한 구 소속 변경 사례",
15216A1100A37010B000J306,해도2동,북구,deprecated,15216A1100A37010B000J335,해도동,2009-01-01,해도1동과 동일 사유로 해도동에 통합. 구 소속 변경 동일 적용,
15216A1100A37010B000J307,송도동,남구,current,15216A1100A37010B000J307,송도동,,,37011550
15216A1100A37010B000J308,양학동,북구,current,15216A1100A37010B000J308,양학동,,,37012580
15216A1100A37010B000J309,죽도1동,북구,deprecated,15216A1100A37010B000J336,죽도동,2009-01-01,1961-03-27 죽도동→죽도1·2동 분동 → 1966-07-15 죽도동으로 재통합 → 1970-11-09 죽도1·2동으로 재분동 → 2009-01-01 죽도동으로 최종 통합(반복 분동·통합 이력 있음),
15216A1100A37010B000J310,죽도2동,북구,deprecated,15216A1100A37010B000J336,죽도동,2009-01-01,죽도1동과 동일 이력(위 note 참고),
15216A1100A37010B000J311,용흥동,북구,current,15216A1100A37010B000J311,용흥동,,,37012610
15216A1100A37010B000J312,우창동,북구,current,15216A1100A37010B000J312,우창동,,,37012630
15216A1100A37010B000J313,두호동,북구,current,15216A1100A37010B000J313,두호동,,,37012640
15216A1100A37010B000J314,장량동,북구,current,15216A1100A37010B000J314,장량동,,,37012650
15216A1100A37010B000J315,환여동,북구,current,15216A1100A37010B000J315,환여동,,,37012660
15216A1100A37010B000J316,청림동,남구,current,15216A1100A37010B000J316,청림동,,,37011560
15216A1100A37010B000J317,제철동,남구,current,15216A1100A37010B000J317,제철동,,,37011570
15216A1100A37010B000J318,효곡동,남구,current,15216A1100A37010B000J318,효곡동,,,37011580
15216A1100A37010B000J319,대이동,남구,current,15216A1100A37010B000J319,대이동,,,37011590
15216A1100A37010B000J320,구룡포읍,남구,current,15216A1100A37010B000J320,구룡포읍,,,37011110
15216A1100A37010B000J321,흥해읍,북구,current,15216A1100A37010B000J321,흥해읍,,,37012110
15216A1100A37010B000J322,연일읍,남구,current,15216A1100A37010B000J322,연일읍,,,37011120
15216A1100A37010B000J323,오천읍,남구,current,15216A1100A37010B000J323,오천읍,,,37011130
15216A1100A37010B000J324,신광면,북구,current,15216A1100A37010B000J324,신광면,,,37012310
15216A1100A37010B000J325,청하면,북구,current,15216A1100A37010B000J325,청하면,,,37012320
15216A1100A37010B000J326,송라면,북구,current,15216A1100A37010B000J326,송라면,,,37012330
15216A1100A37010B000J327,기계면,북구,current,15216A1100A37010B000J327,기계면,,,37012340
15216A1100A37010B000J328,죽장면,북구,current,15216A1100A37010B000J328,죽장면,,,37012350
15216A1100A37010B000J329,대송면,남구,current,15216A1100A37010B000J329,대송면,,,37011310
15216A1100A37010B000J330,동해면,남구,current,15216A1100A37010B000J330,동해면,,,37011320
15216A1100A37010B000J331,장기면,남구,current,15216A1100A37010B000J331,장기면,,,37011330
15216A1100A37010B000J332,호미곶면,남구,current,15216A1100A37010B000J332,호미곶면,,,37011350
15216A1100A37010B000J333,기북면,북구,current,15216A1100A37010B000J333,기북면,,,37012360
15216A1100A37010B000J334,상대동,남구,current,15216A1100A37010B000J334,상대동,,2009-01-01 상대1동·상대2동 통합으로 성립,37011600
15216A1100A37010B000J335,해도동,남구,current,15216A1100A37010B000J335,해도동,,2009-01-01 해도1동·해도2동 통합으로 성립,37011610
15216A1100A37010B000J336,죽도동,북구,current,15216A1100A37010B000J336,죽도동,,2009-01-01 죽도1동·죽도2동 통합으로 성립(반복 분동·통합 이력은 위 note 참고),37012680
