gu,legal_dong_nm,admin_dong_nm
남구,구룡포읍,구룡포읍
남구,대도동,상대동
남구,대송면,대송면
남구,대잠동,대이동
남구,동촌동,제철동
남구,동해면,동해면
남구,상도동,상대동
남구,송내동,제철동
남구,송정동,제철동
남구,괴동동,제철동
남구,장흥동,제철동
남구,송도동,송도동
남구,연일읍,연일읍
남구,오천읍,오천읍
남구,이동,대이동
남구,인덕동,제철동
남구,장기면,장기면
남구,지곡동,효곡동
남구,청림동,청림동
남구,일월동,청림동
남구,해도동,해도동
남구,호동,제철동
남구,호미곶면,호미곶면
남구,효자동,효곡동
북구,기계면,기계면
북구,기북면,기북면
북구,남빈동,중앙동
북구,대신동,중앙동
북구,대흥동,중앙동
북구,덕산동,중앙동
북구,덕수동,중앙동
북구,동빈1가,중앙동
북구,동빈2가,중앙동
북구,두호동,두호동
북구,득량동,양학동
북구,상원동,중앙동
북구,송라면,송라면
북구,신광면,신광면
북구,신흥동,중앙동
북구,양덕동,장량동
북구,여천동,중앙동
북구,용흥동,용흥동
북구,우현동,우창동
북구,장성동,장량동
북구,죽도동,죽도동
북구,죽장면,죽장면
북구,중앙동,중앙동
북구,창포동,우창동
북구,청하면,청하면
북구,학산동,중앙동
북구,학잠동,양학동
북구,항구동,중앙동
북구,환호동,환여동
북구,여남동,환여동
북구,흥해읍,흥해읍
